               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,             0.03287,            0.037499,           0.0078314,             0.70066,             0.62475,             0.66957,             0.45769,            0.040765,            0.028676,           0.0092262,            0.003862,            0.003862,            0.003862
                  64,            0.033601,            0.036964,           0.0080944,             0.69346,             0.62053,             0.67203,               0.466,            0.040675,            0.028458,           0.0091138,            0.003763,            0.003763,            0.003763
                  65,            0.033103,            0.037378,           0.0074892,             0.70975,             0.61141,             0.67312,             0.46181,            0.040325,             0.02855,           0.0099256,            0.003664,            0.003664,            0.003664
                  66,            0.032352,             0.03713,            0.007776,             0.68021,              0.6233,             0.66495,              0.4495,            0.040824,            0.028635,            0.011844,            0.003565,            0.003565,            0.003565
                  67,            0.033122,            0.036395,            0.007168,             0.71604,             0.63506,             0.68263,             0.46713,            0.040754,            0.028652,           0.0087127,            0.003466,            0.003466,            0.003466
                  68,            0.032125,            0.036263,           0.0073239,             0.68141,             0.62169,             0.66635,              0.4583,            0.040231,            0.028487,             0.01016,            0.003367,            0.003367,            0.003367
                  69,            0.032112,            0.042809,           0.0076217,             0.71249,             0.65205,             0.69382,             0.48004,            0.039826,            0.027856,           0.0095761,            0.003268,            0.003268,            0.003268
                  70,            0.031899,            0.041784,           0.0069129,             0.71891,             0.65328,             0.69171,              0.4855,            0.040018,            0.027514,           0.0089181,            0.003169,            0.003169,            0.003169
                  71,            0.031265,            0.041497,           0.0072147,             0.72754,             0.63976,             0.69641,             0.48414,            0.039761,            0.027445,           0.0089296,             0.00307,             0.00307,             0.00307
                  72,            0.030533,            0.041111,           0.0064922,             0.70769,             0.67094,             0.70393,             0.49127,            0.039683,            0.027518,           0.0096284,            0.002971,            0.002971,            0.002971
                  73,            0.031247,            0.040934,           0.0066883,             0.73508,             0.64126,              0.7075,             0.49306,            0.039881,            0.027418,            0.010061,            0.002872,            0.002872,            0.002872
                  74,            0.029517,            0.040378,           0.0059103,             0.72632,             0.65812,             0.70686,              0.5009,            0.039778,            0.027834,            0.010188,            0.002773,            0.002773,            0.002773
                  75,            0.030365,            0.040163,           0.0061285,             0.71053,             0.67503,             0.71186,             0.50438,              0.0397,            0.027534,           0.0098942,            0.002674,            0.002674,            0.002674
                  76,            0.029827,              0.0398,           0.0061669,             0.71159,             0.67393,              0.7123,             0.50454,            0.039587,            0.027331,           0.0099294,            0.002575,            0.002575,            0.002575
                  77,            0.029695,            0.039798,           0.0055806,             0.72653,             0.67151,             0.71732,             0.50789,            0.039097,            0.027275,           0.0095983,            0.002476,            0.002476,            0.002476
                  78,            0.030011,            0.039441,           0.0055205,             0.72177,             0.66638,             0.70394,             0.50227,            0.039437,            0.027289,            0.010556,            0.002377,            0.002377,            0.002377
                  79,            0.028821,            0.038875,           0.0054863,             0.71368,             0.67389,              0.7149,             0.50564,             0.03965,            0.027408,           0.0081699,            0.002278,            0.002278,            0.002278
                  80,            0.029488,             0.03852,           0.0055581,             0.74395,             0.66077,             0.71887,             0.50518,            0.039632,            0.027758,           0.0090038,            0.002179,            0.002179,            0.002179
                  81,            0.028992,            0.038287,           0.0049953,             0.74077,             0.67298,             0.72428,             0.51266,            0.039427,            0.027621,           0.0081425,             0.00208,             0.00208,             0.00208
                  82,            0.028888,            0.037752,           0.0050791,             0.71204,             0.69185,             0.72531,             0.51225,            0.039427,            0.027967,           0.0088241,            0.001981,            0.001981,            0.001981
